Course Number,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
HIST 25508,"Mathematical knowledge is commonly treated as objective and neutral, even though it is produced through specific societal contexts and in turn impacts those same contexts. In this course we will take a thematic approach to studying how mathematical and quantitative knowledges are produced and used through political processes from which they cannot be separated. We will look at examples such as the connections between plantation slavery and the precise measurement of molasses barrels in the 18th century, the gendered nature of the prestigious Tripos exam in the 19th century, 20th century attempts to quantify and manage reproduction, and 21st century issues of algorithmic policing. We will consider multiple angles for approaching the study of mathematics by connecting mathematical knowledge to topics such as labor, racial sciences, pedagogy, material tools, masculinity, nation-building, and embodiment. This will allow us to move beyond simply considering representation (of women in STEM, for example) to think about how gender and race are part of the construction of mathematical knowledge. In particular, this course will encourage students to think creatively about other possibilities for how we could justly and effectively use mathematics in our lives. There are no mathematical pre-requisites; students with a variety of experiences with mathematics will be able to participate fully in this course.",,,,
HIST 25511,"This course will trace the parallel histories of cell and molecular biology, primarily in the 20th century, by exploring continuities and discontinuities between these fields and their precursors. Through discussion, attempts will be made to develop definitions of cell and molecular biology that are based upon their practices and explanatory strategies, and to determine to what extent these practices and strategies overlap. Finally, the relevance of these definitions to current developments in biology will be explored. The course is not designed to be comprehensive, but will provide an overall historical and conceptual framework.",K. Matlin,Spring,This course does not meet the requirements for the Biological Sciences Major.,
HIST 25602,"This course introduces students to the Achaemenid Empire, also known as the First Persian Empire (ca. 550-330 BCE). We will be examining the political history and cultural accomplishments of the Achaemenids who, from their homeland in modern-day Iran, quickly rose to become one of the largest empires of the ancient world, ruling from North Africa to North India at their height. We will also be examining the history of Greek-Persian encounters and the image of the Achaemenids in Greek and Biblical literature. The students will visit the Oriental Institutes' archive and object collection to learn more about the University of Chicago's unique position in the exploration, excavation, and restoration of the Persian Empire's royal architecture and administrative system through the Persian Expedition carried out in the 1930s.",Mehrnoush Soroush,"Autumn
Note(s): Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.",,
HIST 25615,"This course covers the period from ca. 950 to 1700, surveying works of literature, theology, philosophy, sufism, politics, history, etc., written in Arabic, Persian and Turkish, as well as the art, architecture and music of the Islamicate traditions. Through primary texts, secondary sources and lectures, we will trace the cultural, social, religious, political and institutional evolution through the period of the Fatimids, the Crusades, the Mongol invasions, and the ""gunpowder empires"" (Ottomans, Safavids, Mughals).",Adam Flower - Firas Alkhateeb,"Winter
Note(s): Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.",,
HIST 25616,"This course covers the period from ca. 1700 to the present. It explores Muslim intellectuals' engagement with tradition and modernity in the realms of religion, politics, literature, and law. We discuss debates concerning the role of religion in a modern society, perceptions of Europe and European influence, the challenges of maintain religious and cultural authenticity, and Muslim views of nation-states and nationalism in the Middle East. We also give consideration to the modern developments of transnational jihadism and the Arab Spring. This course sequence meets the general education requirement in civilization studies.",Holly Shissler - Tobias Scheunchen,Spring,,
HIST 25705,"How did people live in the early Islamic period? How did they work and study? What do we know about their relations with family members, loved ones, and neighbors? How did they relate to the administration and to people who ruled them? Did they get together to celebrate religious festivals? Did they have parties? What sources do we have to learn about their habits, routines, and feelings? What can we learn about every-day struggles, and how much do these differ from our own? This course aims to introduce undergraduate and early graduate students to the study of social history through a combination of literary and documentary sources from the early centuries of Islam. We will learn about both opportunities and limits of studying history from the ""bottom-up.""",CECILIA PALOMBO,Autumn,,
HIST 25710,"This course examines religious responses to major political upheavals in Islamic history, from the Abbasid revolution to the age of European expansion. Topics include the Mongol destruction of the caliphate in 1258 and the opening and closing of confessional boundaries; the formation of regional Muslim empires in the 16th century; Ibn Arabi, Ibn Taymiyya, and Ibn Khaldun; the development of alternative spiritualities, mysticism, and messianism in the fifteenth century; trans-confessionalism, antinomianism, and the articulation of sacral sovereignties in the sixteenth century; the pious responses to European colonialism . All work in English.",,,,
HIST 25809,"Questions around political economy and capitalism are once again gaining prominence in Ottoman and Middle East studies. Whereas these questions have been fundamental to the traditional confines of economic history and political economy, this new engagement takes its cue from a different and diverse pool of fields. As one observer recently put it, an emerging body of literature engages with ""the economy by other means."" This course takes stock of these still-uncharted means by bringing together and examining a selection of recently published books treating economic themes in the late Ottoman Empire and in the post-Ottoman Middle East up to the midtwentieth century. How do these books challenge, build on, and/or conform to the contours of economic modes of analysis? What do they contribute to our understanding of capitalism in the Middle East? What are the new archives they create for the study of economic life? How do they destabilize the conceptual repertoire of political economy? More importantly, in what ways do they change our view of the late Ottoman and modern Middle East? This course will take us from malaria in Anatolia to ""men of capital"" in Mandate Palestine; from legal battles on family inheritance in Ottoman Syria to the ""colonial economism"" of the British occupation of Egypt; from the late Ottoman culture of productivity to the rise of the Arabic novel during nahda.",Murat Bozluolcay,Winter,,
HIST 26106,"This colloquium explores selected aspects of the social, economic, environmental, and cultural history of tropical export commodities from Latin America-- e.g., coffee, bananas, sugar, tobacco, henequen, rubber, vanilla, and cocaine. Topics include land, labor, capital, markets, transport, geopolitics, power, taste, and consumption.",E. Kourí,Winter,,
HIST 26302,"This course will examine the history of youth-as a social category, and as an experience-in Latin America. We will consider histories of childhood, student activism, and youth culture across the region to consider how young people experience everyday life, and how they effect change. Course materials will combine primary sources including film, music, and other visual and performance artworks with scholarship on childhood and youth.",Diana Schwartz-Francisco,Spring,,
HIST 26305,"This course is designed as an introduction to the history of epidemics and pandemics in Latin America from the XVI century to the present. Emphasis will be on using epidemics and pandemics as historical lenses to illuminate key dimensions of Latin America's society like discrimination, citizenship, authoritarianism, popular resilience and globalization. We will discuss the relationship between epidemics and pandemics and international commerce, analyze the role played by structural inequities and inadequate responses by governments in the intensification of disease outbreaks, and assess popular reactions to government's action and inaction. An organizing principle of several sessions will be ""Necropolitics"" (a concept originally coined by Cameroonian philosopher Achille Mbembe) applied to social studies of health. These studies indicate that it is misleading to consider epidemics and pandemics as equal-opportunity threats since widespread disease outbreaks are usually more acute and tragic for vulnerable populations. A distinctive feature of necropolitics and Covid-19 was a misplaced hope for ""herd immunity"", embraced by Brazilian President Jair Bolsonaro, namely the natural protection from an infectious disease that happens when a population is immune through previous infection, with the assumption that a large number of people had to die.",Marcos Cueto,Autumn,,
HIST 26306,"The course will explore how water shapes-and is shaped by-humans in Latin America. Drawing from case studies from the pre-Columbian era to the present, the course will consider struggles over aquatic resources, dam building, and hydraulic development, as well as the social life of water in the region. Some background in Latin American history or politics is helpful but not required.",Diana Schwartz-Francisco,Winter,,
HIST 26307,The Simultaneity of Time: Reading Jorge Luis Borges in the 21st Century,Mauricio Tenorio,Winter,,
HIST 26318,This course examines the history of Indigenous policies and politics in Latin America from the first encounters with European empires through the 21st Century. Course readings and discussions will consider several key historical moments across the region: European encounters/colonization; the rise of liberalism and capitalist expansion in the 19th century; 20th-century integration policies; and pan-Indigenous and transnational social movements in recent decades. Students will engage with primary and secondary texts that offer interpretations and perspectives both within and across imperial and national boundaries.,Diana Schwartz Francisco,Winter,,
HIST 26319,"How and why do artists engage records of the past in their work? What are the politics of both creating archives and culling from them to visually render or represent the past? Focusing on artists, art-making, and archives in Greater Latin America (including the United States), this course will consider the process of collecting and creating in artistic production from the perspectives of both theory and practice. Students in the course will work directly with archival materials in Chicago and collaborate on contemporary artistic projects that consider issues of relevance to people and places of the Western Hemisphere.",Diana Schwartz-Francisco,Autumn,,
HIST 26409,"This course will examine the role played by Marxist revolutions, revolutionary movements, and the right-wing dictatorships that have opposed them in shaping Latin American societies and political cultures since the end of World War II. Themes examined will include the relationship among Marxism, revolution, and nation building; the importance of charismatic leaders and icons; the popular authenticity and social content of Latin American revolutions; the role of foreign influences and interventions; the links between revolution and dictatorship; and the lasting legacies of political violence and military rule. Countries examined will include Guatemala, Cuba, Chile, Argentina, El Salvador, Nicaragua, Peru, Venezuela, Bolivia, and Mexico. Assignments: Weekly reading, a midterm exam or paper, a final paper, participation in discussion, and weekly responses or quizzes.",B. Fischer,"Winter
Note(s): Some background in Latin American studies or Cold War history useful.",,
HIST 26509,"This course will examine law and citizenship in Latin America from the nineteenth to the twenty-first centuries. We will explore the development of Latin American legal systems in both theory and practice, examine the ways in which the operation of these systems has shaped the nature of citizenship in the region, discuss the relationship between legal and other inequalities, and analyze some of the ways in which legal documents and practices have been studied by scholars in order to gain insight into questions of culture, nationalism, family, violence, gender, and race.",B. Fischer,Winter,"background in Latin American Studies, Latin American History, and/or legal history useful",
HIST 26606,"This course introduces students to some key texts in post and decolonial theory. Our goals in this class are three-fold. First, to familiarize students with foundational thinkers who have inspired both decolonial and postcolonial work.  We draw attention to the different ways in which their ideas have been deployed in subsequent post and decolonial scholarship. Second, we ask questions oriented towards comparison of postcolonial and decolonial approaches: What, if any, are the points of overlap between decolonial and postcolonial thought? How do both bodies of work critique and contest the legacies of empire? Third, we investigate the present and possible futures of decolonial and postcolonial thought.",Rochona Majumdar & Lisa Wedeen,"Spring
Note(s): Enrollment limit: 15",,
HIST 26703,"What did the experience of modernity and colonialism look like for Islamic South Asia? How did South Asian Muslims, especially in North India, respond to the many challenges and opportunities modernity brought in its wake? This course explores how custodians of Islamic religious and poetic traditions responded to colonial modernity. We also introduce some key ideas of postcolonial studies, and apply as well as think critically about them in the light of the Indo-Islamic case-study.  
We begin the course by exploring the possible meanings of modernity and colonialism, before diving deeper into Indo-Islamic modernity using two broad and highly intertwined themes: religion, encompassing subthemes of science, rationality, and progress, and literature, especially poetry and the fate of the Persian and Urdu ghazal tradition, occasionally making comparisons with other pre-colonial genres in other Indian languages. We will look at the creation of new genres and new kinds of poetry in Persian and Urdu that emerge both to answer the call of modernity and sometimes to reject and attack it.",,,,
HIST 27006,"The great jurist Oliver Wendell Holmes Jr. once observed: ""The main part of intellectual education is not the acquisition of facts but learning how to make facts live."" This course concerns itself with the various ways people have striven to understand the American South, past and present. We will read fiction, autobiography, and history (including meditations on how to write history). Main themes of the course include the difference between historical scholarship and writing history in fictional form; the role of the author in each and consideration of the interstitial space of autobiography; the question of authorial authenticity; and the tension between contemporary demands for truthfulness and the rejection of ""truth.""",J. Dailey,Winter,"Open to upper-level undergraduates; graduate students by consent of instructor.
Note(s): Assignments: three short papers.",
HIST 27209,"This course examines the religious, social, cultural, political, and personal factors that went into the making of the two most prominent public leaders and public intellectuals emerging from the African American community in the 1950s and 1960s: Malcolm X and Martin Luther King, Jr.  We will review their autobiographies, the domestic trends within the USA, and the larger international forces operating during their times. Their life stories provide the contexts for the sharp differences and surprising commonalities in their political thought and religious beliefs. At the end of their lives, were they still radical contrasts, sharing the same views, or had their beliefs shifted - did Malcolm become Martin and Martin become Malcolm?",Dwight Hopkins,Winter,,
HIST 27210,"This course explores the history of American military power from the Spanish-American War to the end of the 1980s, focusing on the social, cultural, racial, and human rights aspects of the U.S. military and soldiering in the 20th century. This course will only lightly discuss military strategy and tactic, and instead focus on the broader array of issues which stem from American wars. The course will cover topics such as American military occupations, the desegregation of the Armed Forces, military justice and war crimes, and the rise (and fall) of human rights in American imaginations of war. We will be concerned with questions such as the relationship of the military to state-building in the U.S. and abroad, war as a state-making and race-making mechanism, and the importance of human rights and justice within imaginations of American military power. This course seeks to understand how war and peace shaped the history of the United States in the twentieth century, and the role of grassroots actors in defining the nature of war.","Syrus Jin, Pozen Center for Human Rights Graduate Lecturer",Winter,,
HIST 27304,"How do we tell the story of religion in America? Is it a story of Protestant dominance? Of religious diversity? Of transnational connections? Of secularization? This course examines how historians have grappled with such questions. We will read the work of scholars who have offered narratives explaining American religious history, including figures like Sydney Ahlstrom, Albert Raboteau, Mark Noll, Ann Braude, Catherine Albanese, and Thomas Tweed. This course will introduce students to key historiographical questions in the study of American religion, as well as to classic texts which have shaped the field's development.",William Schultz and Curtis Evans,"Autumn
Note(s): This course meets the HS or SCSR Committee distribution requirement for Divinity students.",,
HIST 27312,"Often considered a ""City of Neighborhoods,"" Chicago has a fascinating network of community areas that were shaped by historical events and developments.  Many of the city's neighborhoods include parks that have their own significant architectural, landscape and social histories.  The class will introduce students to some of Chicago's most interesting historic neighborhoods and parks; expose them to key regional digital and on-site archives; and instruct them in appropriate methodologies for conducting deep research on sites and landscapes, with a special focus on Chicago's historic park system.  Students will utilize an array of resources including Sanborn maps, US Census records, historic plans, photographs, and archival newspapers to provide in-depth studies of unpreserved sites. The course will also expose students to historic preservation policies, methodologies, and guidelines to provide practical strategies for preserving lesser-known places and sites. As a Chicago Studies class, its pedagogy will also include excursions into the city, engagement with local guest speakers, and research in relevant Chicago-area archives/special collections.",Julia Bachrach,"Winter
Note(s): This special class is offered in conjunction with the University’s ongoing commemoration of the 200th anniversary of the birth of Frederick Law Olmsted, the father of American landscape architecture. Olmsted and his sons, the Olmsted Brothers, had a substantial influence on the city’s South Side, including the University’s campus and the development of small parks that provided services to dense immigrant neighborhoods in the early 20th century.  The class will include field trips during some Friday class sessions.",,
HIST 27313,"The collaborative plan to create a Calumet National Heritage Area that touches aspects of environmental conservation, economic development, cultural heritage, recreation, arts, and education will ground this course's exploration of landscape history and landscape planning in the Calumet region. Students will investigate this planning process and its relationship to other local and regional plans. A strong focus of the course is on the opportunities and challenges this complex and richly textured industrial region faces in its transition to a more sustainable future.",,,,
HIST 27314,"Objects are not only formed and interpreted through ideas of place and power, but also shape place and identity. This course looks at how material culture has, in part, formed understandings of the Calumet. Through methods drawn from art history and museum studies, we will look closely at objects, collections, and institutions in the region to analyze the power and politics of representation in placemaking.",,,,
HIST 27315,"The course considers changes wrought in the natural landscape of the greater Calumet region beginning with indigenous Potawatomi and their forced removal.  Students will examine how the Calumet's natural environment became collateral damage of the industrial capitalism that transformed the region into an economic powerhouse and explore efforts to rehabilitate the Calumet's rich biodiversity, identifying the challenges and achievements of this most recent environmental transition.",,,,
HIST 27408,"In this course we will explore the ""work"" race does on both sides of the Atlantic, focusing mainly on the period from the turn of the 20th century to the present.  Topics covered will include:  national variations in how ""race"" and racial identity have been defined and invoked, including policies on the naming, gathering and use of racial statistics; the fundamental rupture in ideas about race and transatlantic relations during and following the Great War and its impact on popular culture during the interwar period; the transatlantic resurgence and challenges to ""scientific racism,"" focusing especially on how it was manifested in the politics and practices of biological reproduction and adoption; the social reproduction of racial ideas and identities manifested in children's books, toys, films, and sports; and how sports and the media shape and are shaped by racial ideologies. We will explore these topics as relatively autonomous developments within the nation-states composing the Atlantic world, while noting the transatlantic transfers, connections, and influences that both strengthened and challenged them.  Our readings and discussions will focus heavily on the U.S. and France, but where pertinent comparative references will be made to Great Britain, Germany, and Brazil.",Leora Auslander,Winter,,
HIST 27409,"This course will explore the question what ""what is an archive?"" from the perspective of Black theorists, historians, artists and historical actors. We will come to understand how the ""archival turn,"" or the scholarly reimagining of the essential nature of the archive presents a range of problems for researching black life. As theorists redefined the archive from a physical repository of textual materials collected by the state to a quasi-metaphorical, hegemonic site of violence and illegibility, traditional forms of historical inquiry and narration came under intense scrutiny. These critiques generated a number of questions which we will ponder together. Can the everyday realities of black subjects-be they enslaved, working-class, female or queer-be recovered through archival texts? How is agency expressed (or not expressed) in the archive? And why? Can archives exist as anything other than repositories for the reproduction of elite consciousness? Or as sites of distortion and dehumanization? With these discussions as our backdrop we will additionally explore imagination and possibility in the archives, asking what Black people's archival practices tell us about human expression and memory. Alongside conceptual texts we will also engage in archival practice as a group. The course will culminate in each student producing a research project which critically engages with a local Black archive in Chicago, or a digital repository of their choosing.",M. Hicks,,,
HIST 27415,"This course will explore the rich intersections between African American women's filmmaking, literary production, and feminist thought from the 1970s to the early 1990s, with an emphasis on the formation of a Black women's film culture beginning in the 1970s. We will examine the range of Black feminisms presented through film and the ways that these films have challenged, countered, and reimagined dominant narratives about race, class, gender, and sexuality in America.
We will explore the power and limitations of filmmaking as a mode of Black feminist activism; the range of Black feminisms presented through film; and the specific filmic engagements of well-known Black feminist critics such as bell hooks, Toni Cade Bambara, and Michele Wallace. As many Black feminist writers were engaged with filmmaking and film culture, we will look at these films alongside Black women's creative and critical writing from the period. Approaching filmmaking in the context of Black feminist thought will allow us to examine the possibilities of interdisciplinary approaches to film studies broadly, as well as to think specifically about the research methods and theories that are demanded by Black women's filmmaking in particular.",Allyson Field,Winter,"This course is open to graduate and undergraduate students from across the disciplines; our conversations and presentations of the films will both depend on and be energized by different disciplinary perspectives.
Note(s): Not offered in 2023-24.
Please email Professor Field at anfield@uchicago.edu before enrolling.
Course Description Continued: 
We will discuss the form, aesthetics, and politics of individual films and we will examine larger efforts by artists and activists to build a Black women’s film culture, asking such questions as: What does a film history of Black feminism look like, and what scholarly and creative methods does such a history demand? 
To begin to answer these questions, we will revisit the 1976 Sojourner Truth Festival of the Arts—believed to be the first ever Black women’s film festival—organized by Michele Wallace, Faith Ringgold, Patricia Jones, Margo Jefferson, and Monica Freeman. The class will collectively participate in a homage series inspired by the 1976 festival, featuring work by filmmakers from the original festival such as Monica Freeman, Madeline Anderson, Michelle Parkerson, Ayoka Chenzira, Carol Munday Lawrence, Edie Lynch, and Camille Billops; as well as others including Julie Dash, Zeinabu irene Davis, Maya Angelou, and Yvonne Welbon. The weekly course screenings will be open to the public and students will gain experience in the public presentation of films by actively engaging in public-facing aspects of film exhibition (writing program notes, delivering introductions, participating in discussions, etc.). The class will culminate with a two-day symposium that will bring together around 35 Black feminist filmmakers and artists, including a number from the 1976 festival, to revisit the threads and legacies of the original event and discuss the present and future of Black women’s film practices.",
HIST 27416,"This course examines African American religious protest against the American nation for its actual history and its ideals in view of black oppression. The course begins with David Walker's Appeal (1829) and ends with debates around Jeremiah Wright's ""God damn America"" sermon. The course situates black religious protest amidst discussions of the American Jeremiad, a particular critique of the nation in relation to the divine, American exceptionalism, and racial injustice. We attempt to trace continuity and discontinuity, hope versus pessimism, and visions of a more perfect union in these public critiques of the nation.",Curtis Evans,"Winter
Note(s): This course meets the HS Committee distribution requirement for Divinity students.",,
HIST 27417,"In 1900, W. E. B. Du Bois prophesied that the ""problem of the twentieth century is the problem of the color line,"" concomitantly laying the foundation of a new language of solidarity by enlisting, not only the ""millions of black men in Africa [and] America"" but also ""the brown and yellow myriads"" in Asia, as victims of White oppression. The color line, seen as a collaborative imperial instrument to keep European states atop a global hierarchy, thus represented both problem and solution for Du Bois. This course explores the provocative thesis of color line by examining two sites where its structural logic was most evident: the continent of Africa and the emerging international law, in the early 20th century. The first part of the course focuses on Africa as a crucible for various White imperialists and a diverse group of settlers belonging to ""darker races""-drawn to the continent by its riches. We will explore the multiple forms of solidarity forged among people of color, while acknowledging how real-world animosities attenuated this aspiration. The second half examines the burgeoning int'l order by pivoting on the evolution of int'l law reliant on an ""exclusion-inclusion model"" that perpetuated the color line, along with a concomitant process of global solidarity that culminated in the Bandung Conference. Students will utilize archival and primary sources, complemented by cutting-edge contemporary scholarship.",Taimur Reza,Autumn,,
HIST 27510,"Study in the historiographies of the Enlightenment in England and in America, with special attention to the ""trans-Atlantic"" communication of ideas regarding the nature of the person, religion, and the role of the political order.",Richard Rosengarten,"Winter
Note(s): This course meets the HS or LMCS Committee distribution requirement for Divinity students.",,
HIST 27718,"Passionate conflicts over school curriculum and educational policy are a recurring phenomenon in the history of US schooling. Why are schools such frequent sites of struggle and what is at stake in these conflicts? In this discussion-based seminar, we will consider schools as battlegrounds in the US ""culture wars"": contests over competing visions of national identity, morality, social order, the fundamental purposes of public education, and the role of the state vis-à-vis the family. Drawing on case studies from history, anthropology, sociology and critical race and gender studies, we will examine both past and contemporary debates over school curriculum and school policy. Topics may include clashes over: the teaching of evolution, sex and sexuality education, busing/desegregation, prayer in schools, multiculturalism, the content of the literary canon, the teaching of reading, mathematics and history, and the closure of underperforming urban schools. Our inquiry will examine how social and political movements have used schools to advance or resist particular agendas and social projects.",Lisa Rosen,Spring 2022-23,,
HIST 27719,"From the Gilded Age to the age of Donald Trump, conservatives Christians have played a major role in shaping American politics and culture. This course will use primary and secondary sources to explore the development of the Christian Right in the United States. We will answer essential questions about the movement: Who joins it? Who leads it? And who funds it? We will examine how conservative Christians approach not only ""moral"" issues like abortion but also issues like economic regulation and foreign policy. Finally, we will seek to answer the question: What is the future of the Christian Right in an increasingly diverse America?",William Schultz,"Winter
Note(s): This course meets the HS Committee distribution requirement for Divinity students.",,
HIST 27720,"This course explores disability as a crucial aspect of power and identity in modern American history. Over the course of that history, legal, medical, economic, environmental, and cultural structures have been elaborated which render some people's bodies and minds as disabled. Furthermore, debilitating and maiming forces have produced impairment in the bodies and minds of groups and individuals in unequal ways. In this course we consider some of these disabling structures and debilitating forces. Through applying a disability lens, we will explore the complex relationships between disability and race, gender, class, and sexuality in United States politics and life. Alongside our inquiry into structural, systemic, and attitudinal forms of ableism in historical context, we will learn how disabled people and their allies have challenged powerful forces throughout U.S history. Such challenges have included demands for rights and recognition to mutual aid to rejections of ableism's hierarchies and exclusions through building kin, forming communities, tinkering, and claiming identities. Students engage disability's rich history through primary sources, scholarly texts, films, images, and other cultural products.",Madeline Williams,Autumn,,
HIST 27806,"In the mid-1980s, only two female students drew women when asked what a scientist looked like and none of the male students in the study did. Only 8% of STEM workers in 1970 were women; in 2019 that number was still only 27%. This would seem to suggest that the history of women in science is a recent one. Yet historians of science have foregrounded women's involvement in fields ranging from early modern medicine to twentieth century astrophysics. This class introduces students to these histories, investigates how and why science came to be a gendered as male, and asks to what extent gendered values continue to inform modern conceptions scientific achievement or value. In so doing, this course also introduces students to feminist science studies and challenges students to reflect upon their own (gendered) experiences of science. Students are strongly encouraged to develop final research projects that draw upon their own interests, scientific expertise, and linguistic competencies.
No prior experience with history is required for this course, although an enthusiasm for history is advised.",Kristine Palmieri,Winter,,
HIST 27807,"In this course we will study the history of changing sexual practices, relations, politics, cultures, and social systems in the region of North America now comprising the United States and 574 sovereign tribal nations. We begin in the pre-colonial period and end in the late twentieth century, focusing on how gendered, racial, economic, religious, medical, and commercial discourses shaped and were shaped by sexual ones. Moving through various contexts, such as occupied indigenous territories, the secret parties of enslaved people, scientific societies, urban drag balls, medical schools, liberatory movements, and popular culture, we will use primary and secondary sources to develop a research-based understanding of how sexual discourses are produced, revised, and remixed among and across generations.",,,,
HIST 27907,"This course explores extralegal violence primarily in the US, from decolonial struggles to white mobs to self and community defense by marginalized peoples. How do we understand different forms of violence, defense, and resistance in relation to the violence of the state? What role does violence play in struggles for justice and freedom? This seminar surveys a range of social science approaches to these questions. In addition to reading the work of anthropologists, historians, and philosophers, we will also take up these themes as they appear in popular media and current events.",,,,
HIST 28302,"This course examines the founding of the United States from the global crisis of the British Empire following the Seven Years' War to the launching of the new national government in 1789. The architects of the American republic believed they were laying the foundations not only of a new political regime but also of a new world. As Thomas Paine's revolutionary pamphlet Common Sense asserted in 1776, American independence would ""begin the world over again."" The lectures consider the revolutionary origins of the United States in the long-term context of three centuries of world history commencing with Columbus' arrival in the Americas in 1492. Course readings consist of primary sources ranging from major works of Enlightenment social and historical theory to political pamphlets, newspaper opinion pieces, and parliamentary debates. This is a lecture course; the assignments consist of two take-home essay exams and a paper.",J. Vaughn,,,
HIST 28307,"This course will explore the long history of populism in the United States, a history that raises fundamental questions about the nature of US politics, law, and society. These include ongoing disputes over the ownership and control of wealth; the rights and duties of individuals to each other as well as to the commonweal; the relationship of citizens to their nation; reigning definitions of justice and the good life; and the currency of racism, jingoism, paranoia, antisemitism, and demagoguery in US democratic politics. Such large subjects will be engaged through an historical investigation, beginning with the War of Independence. The course will finish by examining the putative re-emergence of ""populism"" in recent years, particularly since the financial crisis of 2008, to include global comparisons.",J. Levy and M. Zakim,Autumn,,
HIST 28308,"In the era of ""post-truth"" it has become common to link a crisis of scientific authority with a crisis of liberalism. Democracies around the world are under threat, this reasoning goes, in part because of an attack on scientific truth. But what does liberalism - as political culture and as a form of governance - need (or want) from science? Depending where you look, the answer might appear to be facts, truth, a model 'public sphere,' an ethic of objectivity, tactics for managing risk and uncertainty, or technologies of population management (to name a few). In addition to exploring the complex historical relationship between science and liberalism in the modern era, this course will critically assess how the history of science and the history of political thought have theorized truth and governance. We will examine what models of ""coproduction"" and ""social construction"" - nearly ubiquitous in the historiography of modern science - fail to capture about the histories of science and state power. We will also think about how political and intellectual historians' theories of truth and mendacity in politics might be enriched by more attention to scientific knowledge in both its technical and epistemological forms. This course focuses on 19th- and 20th-century Europe and the United States in global perspective, and readings will draw from political theory, history, economic thought, the natural and human sciences, and critical theory.",Isabel Gabel,Autumn,,
HIST 28309,"Although the United States is officially a constitutional democracy, it has repeatedly involved emergency powers to suspend the constitution and abridge constitutional rights. We explore the history of these 'states of exception' in American history, from the founding era to the present. 
Eligible for LLSO Junior Colloquium.",Joel Isaac,Winter,,
HIST 28710,"This course explores the persistent tension between law and religious faith in the United States. It will proceed loosely chronologically, beginning with the Supreme Court's first rulings on religious liberty following the Civil War and continuing into the twenty-first century. The course will also introduce students to a range of thematic issues, such as the use of state power by religious actors to regulate behavior, the place of believers (and nonbelievers) within a liberal democracy, the religious rights of corporations, and the emergence of forms of legal pluralism as religious law and civil law increasingly intersect. Readings will include case law, legal and political theorists, as well as religious voices. Students will complete a significant literature review on a topic of their choosing.
This course counts as an LLSO junior colloquium.",,,,
HIST 28815,"Spectacles have shocked, awed, delighted, and horrified Americans for centuries-seemingly all at once. This class reexamines American history through the lens of spectacle in its many guises: the scientific, violent, technological, and political. We explore how these various iterations have not only coexisted over time but also intersected, reinforced, and-at times-complicated each other. We will ask how these overlapping spectacles shaped and continue to shape the United States by underwriting and innovating race, class, gender, and statecraft. Is spectacle foundational to the United States? How does it bridge individual lived experience and sociopolitical and economic abstractions? Running from the early modern Atlantic World to the present, we conclude by asking whether the digital age has made spectacle ubiquitous, and at what cost.",,,,
HIST 29006,"This graduate-level reading colloquium explores the interpretive problems and perspectives critical to understanding the historical dynamics of slavery and emancipation in the Caribbean. Between the sixteenth and nineteenth centuries, over five million African men, women, and children were trafficked to the Caribbean as enslaved captives. During this period, Africans and their descendants, as well as the tens of thousands of slaveholders, indentured laborers, Indigenous peoples, and free people in the region, forged the political, economic, social, and cultural dynamics that arguably made the Caribbean the birthplace of the modern world. Through course readings in foundational and emerging scholarship, we will examine how slavery and emancipation underlined crucial historical transformations and problems in the Caribbean, with attention to their global repercussions. Students will also have the opportunity to draw comparisons with other regions in the Atlantic World. Upper-level undergraduates may enroll with instructor consent.","Lyons, Deirdre",Winter,,
HIST 29105,"This reading seminar will introduce students to the key questions, methods, and theories of the burgeoning field of gendered histories of slavery. Global in scope, but with a focus on the early modern Atlantic world, we will explore a range of primary and secondary texts from various slave societies. Assigned monographs will cover a multitude of topics including women and law, sexualities, kinship, and reproduction, and the intersection of race, labor, and market economies. In addition to examining historical narratives, students will discuss the ethical and methodological implications of reading and writing histories of violence, erasure, and domination. Learning to work within and against the limits imposed by hegemonic forms of representation, the fragmentary nature of the archive, and the afterlives of slavery, this course will examine how masculinity and femininity remade and were remade by bondage.",M. Hicks,Spring,,
HIST 29107,"This graduate-level reading colloquium explores classic and emerging scholarship that examines the rise and consolidation of European overseas empires and colonies in the early modern Atlantic world (c.1400-1850). While we will analyze transatlantic European imperial structures, the course will pay particular attention to the perspectives of the colonized peoples (such as enslaved and freed people of African descent, creole populations, and Indigenous peoples) and places (such as the Caribbean, West Africa, Latin America, and North America) in the Atlantic World. Among the thematic topics we will discuss include: colonization; the rise of slavery and the slave trade; cross-cultural and political connections; the consolidation of race; gender, sexuality, and the family; the environment; the plantation complex; work and economy; social life; anti-colonial and anti-slavery struggles, revolution; abolition; and the reconstitution of colonial and imperial structures after slave emancipation. Upper-level undergraduates may enroll with instructor consent.","Lyons, Deirdre",Spring,,
